+-----+--------------------------------------------+------------------------------------------------------------+------------+---------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                                                 | BiomeType  | BiomeDictionary.Type                              | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  70 | thaumcraft:magical_forest                  | Magical Forest                                             | COOL, WARM | FOREST, MAGICAL                                   | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:enderman [weight: 3, min: 1, max: 1] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:vex [weight: 1, min: 1, max: 1] }; { minecraft:witch [weight: 3, min: 1, max: 1] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { thaumcraft:wisp [weight: 20, min: 1, max: 2] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:horse [weight: 2, min: 1, max: 3] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 2, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  71 | thaumcraft:eerie                           | Eerie                                                      |            | MAGICAL, SPOOKY                                   | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:enderman [weight: 4, min: 1, max: 1] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:witch [weight: 8, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thaumcraft:eldritchguardian [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { thaumcraft:wisp [weight: 3, min: 1, max: 1] }; { minecraft:bat [weight: 3, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  72 | thaumcraft:eldritch                        | Outer Lands                                                |            | END, MAGICAL, SPOOKY                              | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:eldritchguardian [weight: 1, min: 1, max: 1] }; { thaumcraft:inhabitedzombie [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|  73 | kathairis:mystic forest                    | Mystic Forest                                              |            | DENSE, FOREST                                     | { kathairis:textures/entity/cacti_spore.png [weight: 4, min: 1, max: 1] }; { kathairis:textures/entity/gecko.png [weight: 4, min: 1, max: 1] }; { kathairis:textures/entity/livingflower.png [weight: 8, min: 1, max: 1] }; { kathairis:textures/entity/mysticbird.png [weight: 12, min: 1, max: 2] }; { kathairis:textures/entity/rubysile.png [weight: 8, min: 1, max: 2] }; { kathairis:textures/entity/illukini.png [weight: 2, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  74 | kathairis:mystic plains                    | Mystic Plains                                              |            | DENSE, PLAINS                                     | { kathairis:textures/entity/bison.png [weight: 8, min: 2, max: 4] }; { kathairis:textures/entity/butterfly.png [weight: 10, min: 1, max: 1] }; { kathairis:textures/entity/butterfly1.png [weight: 10, min: 1, max: 1] }; { kathairis:textures/entity/mysticbird.png [weight: 12, min: 1, max: 3] }; { kathairis:textures/entity/rubysile.png [weight: 8, min: 1, max: 2] }; { kathairis:textures/entity/illukini.png [weight: 2, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|  75 | kathairis:mystic desert                    | Mystic Desert                                              |            | DEAD, HOT, PLAINS                                 | { kathairis:textures/entity/bigturtle.png [weight: 12, min: 1, max: 1] }; { kathairis:textures/entity/camel.png [weight: 6, min: 1, max: 2] }; { kathairis:textures/entity/rubysile.png [weight: 8, min: 1, max: 2] }; { kathairis:textures/entity/illukini.png [weight: 2, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  76 | kathairis:mystic swamps                    | Mystic Swamps                                              |            | DRY                                               | { kathairis:textures/entity/mysticbird.png [weight: 5, min: 1, max: 3] }; { kathairis:textures/entity/rubysile.png [weight: 8, min: 1, max: 2] }; { kathairis:textures/entity/illukini.png [weight: 2, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  77 | kathairis:floating islands                 | Floating Islands                                           |            | MAGICAL, OCEAN, WATER                             | { kathairis:textures/entity/cloudoister.png [weight: 6, min: 1, max: 1] }; { kathairis:textures/entity/cloudshimmer.png [weight: 4, min: 1, max: 1] }; { kathairis:textures/entity/cloudyslime.png [weight: 8, min: 1, max: 1] }; { kathairis:textures/entity/flyingsquid.png [weight: 4, min: 1, max: 1] }; { kathairis:textures/entity/rubysile.png [weight: 8, min: 1, max: 2] }; { kathairis:textures/entity/skyray.png [weight: 2, min: 2, max: 4] }; { kathairis:textures/entity/illukini.png [weight: 2, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|  78 | kathairis:katharian ocean                  | Katharian Ocean                                            |            | MAGICAL, OCEAN, WATER                             | { minecraft:squid [weight: 6, min: 1, max: 6] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  79 | rats:ratlantis                             | ratlantis                                                  |            | DENSE, HOT, JUNGLE, WET                           | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { rats:feral_ratlantean [weight: 70, min: 1, max: 3] }; { rats:pirat [weight: 20, min: 1, max: 1] }; { rats:ratlantean_spirit [weight: 50, min: 1, max: 3] }; { minecraft:parrot [weight: 60, min: 1, max: 2] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  80 | wizardry:wizardry_torikkisea               | wizardry_torikkisea                                        |            | MAGICAL, MOUNTAIN, SPOOKY, WASTELAND, WATER       | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  81 | wizardry:wizardry_torikki                  | wizardry_torikki                                           |            | MAGICAL, MOUNTAIN, SPOOKY, WASTELAND              | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  82 | wizardry:wizardry_underworld               | wizardry_underworld                                        |            | COLD, DRY, MAGICAL, SPOOKY, VOID                  | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  83 | arcaneworld:arcane_void                    | arcane_void                                                |            | PLAINS                                            | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|  84 | aether_legacy:aether_highlands             | Aether Highlands                                           |            | COLD, DRY, MAGICAL, PLAINS, VOID                  | { aether_legacy:aechor_plant [weight: 2, min: 3, max: 3] }; { aether_legacy:aerwhale [weight: 7, min: 3, max: 3] }; { aether_legacy:cockatrice [weight: 4, min: 4, max: 4] }; { aether_legacy:whirlwind [weight: 8, min: 2, max: 2] }; { aether_legacy:zephyr [weight: 4, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { aether_legacy:aechor_plant [weight: 8, min: 3, max: 3] }; { aether_legacy:aerbunny [weight: 11, min: 3, max: 3] }; { aether_legacy:flying_cow [weight: 10, min: 4, max: 4] }; { aether_legacy:moa [weight: 10, min: 3, max: 3] }; { aether_legacy:phyg [weight: 12, min: 4, max: 4] }; { aether_legacy:sheepuff [weight: 10, min: 4, max: 4] }; { aether_legacy:swet [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  85 | blue_skies:calming_skies                   | Calming Skies                                              |            | COLD, DRY, MAGICAL, PLAINS                        | { blue_skies:armored_frost_spirit [weight: 1, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { blue_skies:azulfo [weight: 85, min: 3, max: 5] }; { blue_skies:stardust_ram [weight: 82, min: 3, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  86 | blue_skies:brightlands                     | Brightlands                                                |            | COLD, HILLS, MAGICAL, MOUNTAIN, SNOWY             | { blue_skies:armored_frost_spirit [weight: 2, min: 1, max: 1] }; { blue_skies:cryno [weight: 2, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:ice_wraith [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { blue_skies:azulfo [weight: 85, min: 3, max: 5] }; { blue_skies:reindeer_bs [weight: 85, min: 2, max: 3] }; { blue_skies:stardust_ram [weight: 82, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  87 | blue_skies:peeking_oceans                  | Peeking Oceans                                             |            | COLD, DRY, MAGICAL, OCEAN, PLAINS, WATER          | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  88 | blue_skies:pale_swamplands                 | Pale Swamplands                                            |            | MAGICAL, PLAINS, SNOWY, SWAMP                     | { blue_skies:armored_frost_spirit [weight: 1, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { blue_skies:azulfo [weight: 75, min: 3, max: 5] }; { blue_skies:stardust_ram [weight: 72, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  89 | blue_skies:frostbit_forest                 | Frostbitten Forest                                         |            | COLD, DENSE, FOREST, LUSH, MAGICAL, PLAINS, SNOWY | { blue_skies:armored_frost_spirit [weight: 1, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:ice_wraith [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  90 | blue_skies:unorthodox_valley               | Unorthodox Valley                                          |            | HILLS, MAGICAL, MOUNTAIN                          | { blue_skies:venom_spider [weight: 20, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:witch [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { blue_skies:cosmic_fox [weight: 30, min: 2, max: 3] }; { blue_skies:nightshade_bear [weight: 10, min: 2, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  91 | blue_skies:shaded_woods                    | Shaded Woodlands                                           |            | DENSE, FOREST, LUSH, PLAINS, SPOOKY               | { blue_skies:nycto_bug [weight: 30, min: 1, max: 2] }; { blue_skies:venom_spider [weight: 20, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:witch [weight: 1, min: 1, max: 1] }; { blue_skies:cosmic_fox [weight: 30, min: 2, max: 3] }; { blue_skies:firefly_bs [weight: 50, min: 3, max: 5] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  92 | blue_skies:crystal_dunes                   | Crystal Dunes                                              |            | DEAD, DRY, PLAINS, SANDY                          | { blue_skies:venom_spider [weight: 1, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { blue_skies:crystal_camel [weight: 1, min: 2, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  93 | blue_skies:sunset_maple_forest             | Sunset Maple Forest                                        |            | PLAINS                                            | { blue_skies:venom_spider [weight: 20, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  94 | dimdoors:limbo                             | Limbo                                                      |            | VOID                                              | { dimdoors:mob_monolith [weight: 100, min: 1, max: 1] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
